81.5	81.5	81.51	81.51	114154
81.95	81.5	81.5	81.51	148513
82	81.95	81.5	81.5	195357
80	82	81.95	81.5	494902
78	80	82	81.95	74990
77.95	78	80	82	160152
77.25	77.95	78	80	226413
78	77.25	77.95	78	37256
76.4	78	77.25	77.95	48990
75.9	76.4	78	77.25	138914
75.41	75.9	76.4	78	43140
75.36	75.41	75.9	76.4	40670
77	75.36	75.41	75.9	107617
76.5	77	75.36	75.41	129432
77.6	76.5	77	75.36	169046
75.95	77.6	76.5	77	68408
77	75.95	77.6	76.5	88966
75.3	77	75.95	77.6	41380
75.9	75.3	77	75.95	109438
75.44	75.9	75.3	77	17683
75.5	75.44	75.9	75.3	356741
74.25	75.5	75.44	75.9	82973
74.5	74.25	75.5	75.44	89848
75	74.5	74.25	75.5	51533
74.39	75	74.5	74.25	34948
74.35	74.39	75	74.5	42994
73.52	74.35	74.39	75	35863
74.4	73.52	74.35	74.39	61448
76.85	74.4	73.52	74.35	216567
78	76.85	74.4	73.52	120627
78.15	78	76.85	74.4	439840
77.66	78.15	78	76.85	147825
78	77.66	78.15	78	236963
77.99	78	77.66	78.15	101048
78	77.99	78	77.66	173917
78.05	78	77.99	78	297748
78.8	78.05	78	77.99	290348
79.68	78.8	78.05	78	95024
80.54	79.68	78.8	78.05	86029
80	80.54	79.68	78.8	79317
80.76	80	80.54	79.68	29965
81.47	80.76	80	80.54	82291
81.4	81.47	80.76	80	46437
80.62	81.4	81.47	80.76	31523
79.05	80.62	81.4	81.47	73218
79.8	79.05	80.62	81.4	28006
79.8	79.8	79.05	80.62	63035
79.8	79.8	79.8	79.05	54625
78.93	79.8	79.8	79.8	230564
80.2	78.93	79.8	79.8	25314
80.7	80.2	78.93	79.8	14114
80.8	80.7	80.2	78.93	52592
81.35	80.8	80.7	80.2	38525
84.01	81.35	80.8	80.7	86234
85.3	84.01	81.35	80.8	363494
86	85.3	84.01	81.35	519173
86.89	86	85.3	84.01	344155
86.83	86.89	86	85.3	177121
86.2	86.83	86.89	86	188660
86.65	86.2	86.83	86.89	208229
87	86.65	86.2	86.83	260889
87.34	87	86.65	86.2	294031
88	87.34	87	86.65	211427
88	88	87.34	87	40685
86.78	88	88	87.34	97389
87.2	86.78	88	88	74218
89.7	87.2	86.78	88	254240
89.5	89.7	87.2	86.78	134404
89.65	89.5	89.7	87.2	185894
91.8	89.65	89.5	89.7	279630
93.5	91.8	89.65	89.5	144739
